guide_id,expertise_tags,personality_vector,language_pairs,pace_style,group_size_preferred,budget_tier,location_coverage,availability,rating_history,rating_count,specialties,license_verified,license_number,license_type,license_country,license_expiry
GTH864,culture|gardens,0.268|0.277|0.694|0.591|0.602,en→th|de→th,0.53,3,premium,TH:Doi Suthep|TH:Doi Inthanon|TH:Old City|TH:Sankamphaeng,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""evening""], ""3"": [""morning""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""morning"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""morning""]}",3.91,54,culture|gardens,False,,licensed,TH,
GTH330,nature|markets,0.598|0.664|0.873|0.164|0.700,en→th|ru→th,0.872,3,budget,TH:Doi Suthep|TH:Doi Inthanon|TH:Sankamphaeng|TH:Mae Sa Valley,"{""1"": [""afternoon"", ""morning""], ""2"": [""morning"", ""afternoon""], ""3"": [""morning"", ""evening""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""evening"", ""morning""], ""6"": [""morning"", ""afternoon"", ""evening""], ""7"": [""evening"", ""morning"", ""afternoon""]}",3.71,153,nature|markets,False,,community_host,TH,
GTH719,shopping|architecture|culture|rural,0.640|0.476|0.606|0.734|0.799,en→th|ko→th,0.796,1,mid,TH:Doi Pui|TH:Night Bazaar|TH:Nimman,"{""1"": [""afternoon"", ""evening""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""afternoon"", ""morning""], ""4"": [""afternoon"", ""evening"", ""morning""], ""5"": [""evening"", ""afternoon""], ""6"": [""afternoon"", ""morning""], ""7"": [""afternoon"", ""morning""]}",3.78,78,shopping|architecture|culture|rural,False,,verified_expert,TH,
GTH428,wellness|food_heritage,0.708|0.351|0.638|0.703|0.270,en→th|ko→th,0.652,3,premium,TH:Nimman|TH:Mae Sa Valley|TH:Doi Pui,"{""1"": [""afternoon""], ""2"": [""evening"", ""morning"", ""afternoon""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""evening""], ""5"": [""afternoon"", ""morning"", ""evening""], ""6"": [""morning"", ""afternoon""], ""7"": [""evening"", ""afternoon""]}",4.01,145,wellness|food_heritage,False,,community_host,TH,
GTH303,museums|wellness|temples,0.329|0.165|0.212|0.439|0.596,en→th|ja→th,0.454,2,budget,TH:Sankamphaeng|TH:Nimman|TH:Doi Inthanon,"{""1"": [""morning"", ""afternoon""], ""2"": [""afternoon"", ""morning"", ""evening""], ""3"": [""afternoon"", ""evening""], ""4"": [""morning""], ""5"": [""morning""], ""6"": [""morning"", ""evening""], ""7"": [""afternoon""]}",4.68,32,museums|wellness|temples,False,,community_host,TH,
GTH342,rural|photography,0.136|0.694|0.154|0.200|0.979,en→th|ja→th,0.748,5,mid,TH:Nimman|TH:Doi Suthep,"{""1"": [""morning""], ""2"": [""evening"", ""afternoon"", ""morning""], ""3"": [""afternoon""], ""4"": [""evening""], ""5"": [""morning"", ""evening"", ""afternoon""], ""6"": [""evening"", ""afternoon"", ""morning""], ""7"": [""morning""]}",4.59,63,rural|photography,False,,community_host,TH,
GTH553,art|waterfront|river,0.649|0.903|0.926|0.352|0.103,en→th|zh→th,0.704,7,premium,TH:Sankamphaeng|TH:Doi Suthep|TH:Doi Pui|TH:Old City,"{""1"": [""evening""], ""2"": [""evening"", ""afternoon""], ""3"": [""evening""], ""4"": [""morning"", ""afternoon""], ""5"": [""evening"", ""afternoon""], ""6"": [""morning"", ""afternoon""], ""7"": [""evening"", ""afternoon"", ""morning""]}",3.82,180,art|waterfront|river,False,,verified_expert,TH,
GTH122,beach|markets,0.252|0.464|0.296|0.418|0.347,en→th|zh→th,0.743,4,mid,TH:Old City|TH:Mae Sa Valley|TH:Doi Inthanon|TH:Doi Suthep,"{""1"": [""evening"", ""afternoon""], ""2"": [""afternoon"", ""morning""], ""3"": [""afternoon"", ""evening""], ""4"": [""morning"", ""afternoon""], ""5"": [""afternoon"", ""morning""], ""6"": [""afternoon"", ""evening""], ""7"": [""morning"", ""evening""]}",3.9,56,beach|markets,False,,verified_expert,TH,
GTH563,waterfront|food_heritage|beach|photography,0.861|0.981|0.428|0.785|0.181,en→th|zh→th,0.924,2,premium,TH:Doi Inthanon,"{""1"": [""afternoon""], ""2"": [""afternoon""], ""3"": [""morning"", ""evening""], ""4"": [""afternoon"", ""morning""], ""5"": [""morning"", ""evening"", ""afternoon""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""afternoon"", ""evening"", ""morning""]}",4.28,50,waterfront|food_heritage|beach|photography,False,,community_host,TH,
GTH884,culture|waterfront|trekking|nightlife,0.836|0.261|0.212|0.516|0.785,en→th|en→th,0.751,3,premium,TH:Nimman|TH:Doi Pui,"{""1"": [""evening"", ""morning""], ""2"": [""evening"", ""morning"", ""afternoon""], ""3"": [""morning""], ""4"": [""afternoon""], ""5"": [""morning""], ""6"": [""evening""], ""7"": [""evening"", ""afternoon""]}",5.1,118,culture|waterfront|trekking|nightlife,False,,verified_expert,TH,
GTH513,river|nature,0.739|0.742|0.246|0.645|0.138,en→th|ru→th,0.985,3,budget,TH:Sankamphaeng|TH:Doi Inthanon|TH:Nimman,"{""1"": [""afternoon"", ""evening"", ""morning""], ""2"": [""evening"", ""afternoon""], ""3"": [""evening""], ""4"": [""morning"", ""evening""], ""5"": [""morning""], ""6"": [""afternoon"", ""evening"", ""morning""], ""7"": [""afternoon"", ""evening"", ""morning""]}",4.17,124,river|nature,False,,community_host,TH,
GTH508,food|photography,0.492|0.675|0.232|0.879|0.811,en→th|de→th,0.774,5,mid,TH:Night Bazaar|TH:Old City,"{""1"": [""evening"", ""afternoon""], ""2"": [""morning"", ""afternoon""], ""3"": [""afternoon""], ""4"": [""morning""], ""5"": [""evening""], ""6"": [""afternoon""], ""7"": [""morning"", ""afternoon""]}",4.3,119,food|photography,True,,verified_expert,TH,
GTH249,waterfront|rural|culture,0.638|0.419|0.561|0.529|0.941,en→th|fr→th,0.882,8,budget,TH:Mae Sa Valley|TH:Doi Suthep|TH:Night Bazaar,"{""1"": [""evening"", ""afternoon"", ""morning""], ""2"": [""evening""], ""3"": [""evening""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""afternoon"", ""evening""], ""6"": [""evening"", ""afternoon""], ""7"": [""afternoon"", ""morning""]}",4.41,112,waterfront|rural|culture,False,,licensed,TH,
GTH503,rural|food_heritage|history,0.700|0.593|0.774|0.555|0.999,en→th|zh→th,0.238,7,mid,TH:Doi Inthanon|TH:Doi Suthep|TH:Doi Pui|TH:Mae Sa Valley,"{""1"": [""morning""], ""2"": [""afternoon""], ""3"": [""morning""], ""4"": [""afternoon""], ""5"": [""morning"", ""afternoon"", ""evening""], ""6"": [""evening"", ""afternoon""], ""7"": [""morning""]}",3.57,16,rural|food_heritage|history,False,,community_host,TH,
GTH661,history|nightlife,0.755|0.808|0.297|0.924|0.249,en→th|th→th,0.705,2,budget,TH:Mae Sa Valley|TH:Doi Inthanon|TH:Sankamphaeng|TH:Night Bazaar,"{""1"": [""afternoon"", ""evening"", ""morning""], ""2"": [""evening"", ""afternoon"", ""morning""], ""3"": [""morning""], ""4"": [""afternoon"", ""evening""], ""5"": [""evening"", ""afternoon""], ""6"": [""evening"", ""afternoon""], ""7"": [""evening""]}",3.89,27,history|nightlife,False,,verified_expert,TH,
GTH592,museums|art,0.860|0.297|0.961|0.518|0.238,en→th|zh→th,0.189,6,mid,TH:Doi Pui|TH:Doi Inthanon|TH:Night Bazaar|TH:Mae Sa Valley,"{""1"": [""morning"", ""afternoon"", ""evening""], ""2"": [""afternoon"", ""evening""], ""3"": [""afternoon""], ""4"": [""morning"", ""afternoon""], ""5"": [""morning"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""afternoon"", ""morning""]}",5.15,103,museums|art,True,,licensed,TH,
GTH912,art|shopping|waterfront,0.650|0.248|0.243|0.394|0.439,en→th|ru→th,0.175,2,budget,TH:Night Bazaar,"{""1"": [""evening"", ""morning"", ""afternoon""], ""2"": [""afternoon""], ""3"": [""morning""], ""4"": [""afternoon""], ""5"": [""evening"", ""afternoon""], ""6"": [""evening"", ""morning"", ""afternoon""], ""7"": [""afternoon""]}",4.13,149,art|shopping|waterfront,False,,verified_expert,TH,
GTH720,history|beach,0.100|0.930|0.811|0.907|0.842,en→th|ja→th,0.541,5,premium,TH:Doi Suthep|TH:Doi Pui|TH:Doi Inthanon,"{""1"": [""morning"", ""evening""], ""2"": [""evening"", ""morning""], ""3"": [""afternoon"", ""morning"", ""evening""], ""4"": [""evening"", ""morning""], ""5"": [""afternoon"", ""evening"", ""morning""], ""6"": [""afternoon"", ""evening"", ""morning""], ""7"": [""morning"", ""afternoon""]}",4.32,170,history|beach,True,,licensed,TH,
GTH344,photography|art|river,0.234|0.240|0.172|0.629|0.206,en→th|ko→th,0.197,8,budget,TH:Doi Suthep|TH:Night Bazaar,"{""1"": [""afternoon"", ""evening"", ""morning""], ""2"": [""evening""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""evening"", ""morning""], ""5"": [""morning"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""morning""]}",5.16,64,photography|art|river,False,,community_host,TH,
GTH996,nature|architecture|river,0.692|0.458|0.738|0.391|0.220,en→th|ja→th,0.394,7,premium,TH:Night Bazaar|TH:Old City|TH:Doi Suthep,"{""1"": [""morning"", ""evening""], ""2"": [""morning""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""evening""], ""5"": [""afternoon""], ""6"": [""morning""], ""7"": [""afternoon"", ""evening"", ""morning""]}",4.39,86,nature|architecture|river,True,,verified_expert,TH,
GSG919,trekking|architecture,0.794|0.972|0.282|0.233|0.712,en→sg|ta→sg,0.872,5,premium,SG:Universal Studios|SG:Botanic Gardens|SG:Fort Canning|SG:Sentosa,"{""1"": [""afternoon""], ""2"": [""evening"", ""afternoon"", ""morning""], ""3"": [""afternoon""], ""4"": [""morning"", ""afternoon""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""afternoon"", ""morning""], ""7"": [""evening"", ""morning""]}",3.8,166,trekking|architecture,False,,community_host,SG,
GSG887,art|gardens,0.329|0.339|0.578|0.136|0.957,en→sg|ta→sg,0.504,7,budget,SG:Marina Bay|SG:Orchard Road|SG:Chinatown|SG:Universal Studios,"{""1"": [""evening"", ""morning"", ""afternoon""], ""2"": [""morning"", ""afternoon"", ""evening""], ""3"": [""afternoon""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""afternoon"", ""morning"", ""evening""], ""7"": [""morning"", ""afternoon"", ""evening""]}",4.33,25,art|gardens,True,STB-626124,licensed,SG,2027-09-07
GSG345,nightlife|nature,0.692|0.705|0.474|0.915|0.284,en→sg|en→sg,0.248,2,mid,SG:Universal Studios|SG:Kampong Glam|SG:Orchard Road,"{""1"": [""afternoon""], ""2"": [""morning""], ""3"": [""afternoon"", ""morning""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""evening"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""afternoon""]}",4.6,139,nightlife|nature,True,STB-227339,licensed,SG,2026-11-01
GSG735,food|beach|culture,0.993|0.246|0.408|0.570|0.721,en→sg|ta→sg,0.275,6,budget,SG:Gardens by the Bay|SG:Kampong Glam|SG:Orchard Road,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""evening"", ""afternoon""], ""4"": [""morning""], ""5"": [""afternoon""], ""6"": [""morning""], ""7"": [""afternoon"", ""morning"", ""evening""]}",5.01,166,food|beach|culture,True,STB-275660,licensed,SG,2027-05-11
GSG424,rural|food|wellness,0.876|0.177|0.859|0.635|0.605,en→sg|en→sg,0.205,3,mid,SG:Universal Studios|SG:Kampong Glam|SG:Little India|SG:Orchard Road,"{""1"": [""afternoon""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""morning""], ""4"": [""evening"", ""morning""], ""5"": [""afternoon"", ""evening"", ""morning""], ""6"": [""afternoon"", ""evening""], ""7"": [""evening""]}",3.82,189,rural|food|wellness,False,,community_host,SG,
GSG226,rural|food|beach,0.983|0.395|0.741|0.883|0.938,en→sg|ms→sg,0.643,2,mid,SG:Orchard Road,"{""1"": [""evening""], ""2"": [""evening""], ""3"": [""morning""], ""4"": [""afternoon""], ""5"": [""evening"", ""morning""], ""6"": [""evening"", ""afternoon"", ""morning""], ""7"": [""afternoon""]}",4.64,192,rural|food|beach,True,VXP-51721,verified_expert,SG,
GSG705,shopping|rural,0.184|0.400|0.767|0.223|0.185,en→sg|en→sg,0.95,1,budget,SG:Marina Bay|SG:Haw Par Villa|SG:Little India|SG:Gardens by the Bay,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""morning""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""morning"", ""evening""], ""5"": [""evening""], ""6"": [""evening"", ""morning"", ""afternoon""], ""7"": [""evening""]}",3.8,186,shopping|rural,True,VXP-30815,verified_expert,SG,
GSG530,architecture|museums,0.314|0.487|0.652|0.450|0.843,en→sg|en→sg,0.363,3,mid,SG:Botanic Gardens|SG:Chinatown|SG:Fort Canning|SG:Sentosa,"{""1"": [""evening"", ""afternoon""], ""2"": [""morning""], ""3"": [""evening"", ""morning""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""evening""], ""7"": [""morning""]}",4.14,63,architecture|museums,False,,community_host,SG,
GSG250,history|culture|markets|temples,0.969|0.349|0.201|0.103|0.289,en→sg|zh→sg,0.2,1,mid,SG:Little India,"{""1"": [""evening"", ""morning"", ""afternoon""], ""2"": [""afternoon"", ""evening""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""afternoon"", ""morning""], ""6"": [""evening"", ""morning"", ""afternoon""], ""7"": [""afternoon"", ""evening""]}",4.24,118,history|culture|markets|temples,True,VXP-28924,verified_expert,SG,
GSG565,history|waterfront,0.773|0.572|0.283|0.199|0.358,en→sg|en→sg,0.355,3,mid,SG:Haw Par Villa,"{""1"": [""afternoon"", ""morning""], ""2"": [""morning"", ""afternoon""], ""3"": [""afternoon"", ""evening""], ""4"": [""afternoon""], ""5"": [""afternoon""], ""6"": [""morning""], ""7"": [""evening""]}",4.21,124,history|waterfront,False,,community_host,SG,
GSG929,art|museums|food_heritage,0.678|0.230|0.341|0.434|0.329,en→sg|zh→sg,0.189,5,premium,SG:Marina Bay|SG:Orchard Road|SG:Botanic Gardens|SG:Fort Canning,"{""1"": [""evening""], ""2"": [""evening"", ""morning"", ""afternoon""], ""3"": [""morning"", ""evening"", ""afternoon""], ""4"": [""evening"", ""afternoon""], ""5"": [""afternoon"", ""morning"", ""evening""], ""6"": [""morning""], ""7"": [""evening""]}",3.91,64,art|museums|food_heritage,True,VXP-43043,verified_expert,SG,
GSG645,nightlife|gardens|photography|markets,0.703|0.965|0.609|0.421|0.442,en→sg|ms→sg,0.662,4,mid,SG:Little India,"{""1"": [""afternoon"", ""morning""], ""2"": [""evening"", ""morning""], ""3"": [""morning"", ""evening"", ""afternoon""], ""4"": [""afternoon""], ""5"": [""morning""], ""6"": [""afternoon"", ""morning""], ""7"": [""evening""]}",5.0,140,nightlife|gardens|photography|markets,True,VXP-41610,verified_expert,SG,
GSG221,temples|art|photography,0.297|0.187|0.331|0.926|0.468,en→sg|zh→sg,0.992,8,budget,SG:Little India,"{""1"": [""afternoon""], ""2"": [""evening"", ""morning"", ""afternoon""], ""3"": [""evening"", ""afternoon""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""afternoon""], ""6"": [""morning"", ""evening""], ""7"": [""evening"", ""morning"", ""afternoon""]}",4.97,91,temples|art|photography,False,,community_host,SG,
GSG302,museums|nature|food,0.765|0.983|0.615|0.701|0.273,en→sg|zh→sg,0.84,4,premium,SG:Kampong Glam,"{""1"": [""afternoon""], ""2"": [""morning"", ""afternoon""], ""3"": [""evening""], ""4"": [""morning""], ""5"": [""evening""], ""6"": [""morning"", ""afternoon"", ""evening""], ""7"": [""afternoon"", ""morning"", ""evening""]}",4.2,40,museums|nature|food,True,STB-967463,licensed,SG,2027-05-31
GSG372,markets|food|nature,0.437|0.580|0.716|0.904|0.198,en→sg|ta→sg,0.788,4,budget,SG:Gardens by the Bay|SG:Orchard Road,"{""1"": [""evening"", ""afternoon"", ""morning""], ""2"": [""evening""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""morning"", ""afternoon""], ""5"": [""afternoon"", ""evening""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""afternoon"", ""evening""]}",4.28,23,markets|food|nature,True,STB-833675,licensed,SG,2027-04-17
GSG978,trekking|temples|history|art,0.763|0.580|0.871|0.604|0.455,en→sg|zh→sg,0.685,3,budget,SG:Universal Studios|SG:Sentosa,"{""1"": [""evening"", ""morning"", ""afternoon""], ""2"": [""evening"", ""morning"", ""afternoon""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""afternoon"", ""morning""], ""5"": [""morning""], ""6"": [""afternoon"", ""morning""], ""7"": [""morning""]}",3.65,178,trekking|temples|history|art,True,STB-153223,licensed,SG,2028-04-01
GSG983,culture|food_heritage|temples|river,0.164|0.749|0.592|0.764|0.390,en→sg|en→sg,0.248,5,mid,SG:Marina Bay,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""evening""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""morning"", ""afternoon"", ""evening""], ""5"": [""evening"", ""afternoon""], ""6"": [""evening""], ""7"": [""evening"", ""morning"", ""afternoon""]}",4.63,172,culture|food_heritage|temples|river,True,STB-912965,licensed,SG,2026-11-22
GSG736,food_heritage|shopping,0.777|0.335|0.177|0.831|0.640,en→sg|ms→sg,0.619,8,mid,SG:Universal Studios|SG:Orchard Road|SG:Clarke Quay|SG:Botanic Gardens,"{""1"": [""afternoon""], ""2"": [""afternoon"", ""morning""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""evening""], ""5"": [""morning""], ""6"": [""afternoon"", ""morning"", ""evening""], ""7"": [""evening"", ""afternoon""]}",4.17,22,food_heritage|shopping,False,,community_host,SG,
GSG847,food_heritage|nightlife|waterfront,0.235|0.440|0.211|0.472|0.818,en→sg|ms→sg,0.561,6,mid,SG:Little India,"{""1"": [""evening""], ""2"": [""morning"", ""afternoon"", ""evening""], ""3"": [""morning"", ""evening""], ""4"": [""evening"", ""afternoon""], ""5"": [""afternoon"", ""morning"", ""evening""], ""6"": [""morning""], ""7"": [""afternoon""]}",4.57,100,food_heritage|nightlife|waterfront,True,STB-923278,licensed,SG,2027-11-17
GSG882,food_heritage|trekking|museums,0.924|0.765|0.335|0.760|0.966,en→sg|ta→sg,0.679,8,mid,SG:Universal Studios|SG:Sentosa,"{""1"": [""evening""], ""2"": [""morning"", ""afternoon"", ""evening""], ""3"": [""morning""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""evening"", ""afternoon"", ""morning""], ""6"": [""evening"", ""afternoon"", ""morning""], ""7"": [""morning"", ""evening""]}",3.11,62,food_heritage|trekking|museums,False,,community_host,SG,
GSG838,temples|cooking|food_heritage,0.488|0.194|0.965|0.327|0.516,en→sg|en→sg,0.137,7,mid,SG:Clarke Quay|SG:Little India|SG:Fort Canning|SG:Chinatown,"{""1"": [""afternoon"", ""evening"", ""morning""], ""2"": [""morning"", ""evening""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""afternoon"", ""evening""], ""5"": [""evening"", ""morning""], ""6"": [""evening""], ""7"": [""afternoon""]}",4.24,132,temples|cooking|food_heritage,True,STB-522868,licensed,SG,2027-06-20
GSG883,nightlife|wellness,0.753|0.221|0.649|0.727|0.706,en→sg|zh→sg,0.406,5,premium,SG:Chinatown,"{""1"": [""morning"", ""afternoon""], ""2"": [""afternoon"", ""morning"", ""evening""], ""3"": [""morning"", ""evening"", ""afternoon""], ""4"": [""morning""], ""5"": [""evening"", ""afternoon"", ""morning""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""evening""]}",4.97,23,nightlife|wellness,True,STB-326632,licensed,SG,2027-05-30
GSG837,photography|architecture|waterfront|temples,0.464|0.391|0.303|0.894|0.869,en→sg|ta→sg,0.751,2,premium,SG:Little India|SG:Gardens by the Bay|SG:Orchard Road|SG:Haw Par Villa,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""morning""], ""3"": [""evening""], ""4"": [""afternoon""], ""5"": [""morning"", ""evening""], ""6"": [""evening"", ""morning"", ""afternoon""], ""7"": [""afternoon"", ""evening"", ""morning""]}",3.82,186,photography|architecture|waterfront|temples,False,,community_host,SG,
GSG331,beach|trekking|rural,0.925|0.894|0.712|0.453|0.649,en→sg|ms→sg,0.411,1,budget,SG:Botanic Gardens|SG:Orchard Road|SG:Fort Canning,"{""1"": [""afternoon""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""evening""], ""5"": [""morning""], ""6"": [""evening"", ""morning"", ""afternoon""], ""7"": [""afternoon""]}",3.76,70,beach|trekking|rural,True,STB-665422,licensed,SG,2027-08-24
GSG604,wellness|rural|culture,0.183|0.940|0.726|0.872|0.365,en→sg|en→sg,0.568,7,premium,SG:Little India,"{""1"": [""afternoon"", ""evening""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""morning""], ""5"": [""evening""], ""6"": [""afternoon""], ""7"": [""afternoon"", ""morning""]}",4.55,98,wellness|rural|culture,True,VXP-41149,verified_expert,SG,
GSG967,river|culture,0.388|0.771|0.190|0.258|0.297,en→sg|en→sg,0.908,6,budget,SG:Universal Studios|SG:Kampong Glam|SG:Clarke Quay|SG:Gardens by the Bay,"{""1"": [""afternoon"", ""morning""], ""2"": [""morning"", ""afternoon"", ""evening""], ""3"": [""morning"", ""evening"", ""afternoon""], ""4"": [""evening"", ""morning""], ""5"": [""afternoon"", ""morning"", ""evening""], ""6"": [""morning"", ""afternoon""], ""7"": [""evening"", ""morning"", ""afternoon""]}",3.43,11,river|culture,True,VXP-92100,verified_expert,SG,
